festival_name,start_date,end_date,duration_days,impact_type,impact_severity,year
Holi,2020-03-09,2020-03-10,2,Eye/Skin Injuries,3,2020
Ganesh Chaturthi,2020-08-22,2020-09-01,11,Trauma & Accidents,4,2020
Navratri,2020-10-17,2020-10-25,9,Fatigue & Accidents,2,2020
Diwali,2020-11-14,2020-11-16,3,Respiratory & Burns,5,2020
Holi,2021-03-28,2021-03-29,2,Eye/Skin Injuries,3,2021
Ganesh Chaturthi,2021-09-10,2021-09-19,10,Trauma & Accidents,4,2021
Navratri,2021-10-07,2021-10-15,9,Fatigue & Accidents,2,2021
Diwali,2021-11-04,2021-11-06,3,Respiratory & Burns,5,2021
Holi,2022-03-17,2022-03-18,2,Eye/Skin Injuries,3,2022
Ganesh Chaturthi,2022-08-31,2022-09-09,10,Trauma & Accidents,4,2022
Navratri,2022-09-26,2022-10-04,9,Fatigue & Accidents,2,2022
Diwali,2022-10-24,2022-10-26,3,Respiratory & Burns,5,2022
Holi,2023-03-07,2023-03-08,2,Eye/Skin Injuries,3,2023
Ganesh Chaturthi,2023-09-19,2023-09-28,10,Trauma & Accidents,4,2023
Navratri,2023-10-15,2023-10-23,9,Fatigue & Accidents,2,2023
Diwali,2023-11-12,2023-11-14,3,Respiratory & Burns,5,2023
Holi,2024-03-25,2024-03-26,2,Eye/Skin Injuries,3,2024
Ganesh Chaturthi,2024-09-07,2024-09-17,11,Trauma & Accidents,4,2024
Navratri,2024-10-03,2024-10-11,9,Fatigue & Accidents,2,2024
Diwali,2024-11-01,2024-11-03,3,Respiratory & Burns,5,2024
